id,uzi,x,y,z
14740,0.79652680819047,0.015,0.01,0.015
14771,-0.4830701426399,0.015,0.011,0.015
14802,-1.3581305070191,0.015,0.012,0.015
14833,-2.3393162131579,0.015,0.013,0.015
14864,-3.3177502999897,0.015,0.014,0.015
14895,-4.3220241804914,0.015,0.015,0.015
14926,-5.3407603057252,0.015,0.016,0.015
14957,-6.3730184155497,0.015,0.017,0.015
14988,-7.4661124351578,0.015,0.018,0.015
15019,-8.4634055445499,0.015,0.019,0.015
15050,-10.258577585316,0.015,0.02,0.015
15081,-11.413196743988,0.015,0.021,0.015
15112,-12.313348785501,0.015,0.022,0.015
15406,2.9218775456556,0.015,0,0.016
15407,3.2200780303232,0.015,0.001,0.016
