id,u,x,y,z
558,412.60364938602,0.53,0.05,0
559,419.85738273423,0.54,0.05,0
560,427.23565001053,0.55,0.05,0
561,434.72645293806,0.56,0.05,0
562,442.30895448986,0.57,0.05,0
563,449.95586262905,0.58,0.05,0
564,457.63653177275,0.59,0.05,0
565,465.31970649508,0.6,0.05,0
566,472.97537624619,0.61,0.05,0
567,480.57609051262,0.62,0.05,0
568,488.09860433102,0.63,0.05,0
569,495.52651230453,0.64,0.05,0
570,502.85338674079,0.65,0.05,0
571,510.0850494021,0.66,0.05,0
572,517.23948346764,0.67,0.05,0
573,524.34381019938,0.68,0.05,0
574,531.42890497202,0.69,0.05,0
575,538.52332544344,0.7,0.05,0
576,545.64860287076,0.71,0.05,0
577,552.81768901843,0.72,0.05,0
578,560.03701142773,0.73,0.05,0
579,567.31120262284,0.74,0.05,0
580,574.64825189016,0.75,0.05,0
581,582.06312357612,0.76,0.05,0
582,589.57878852056,0.77,0.05,0
583,597.22483592042,0.78,0.05,0
584,605.03417219183,0.79,0.05,0
585,613.03852101911,0.8,0.05,0
586,621.26328680775,0.81,0.05,0
587,629.7225337157,0.82,0.05,0
588,638.41519871969,0.83,0.05,0
589,647.3238988447,0.84,0.05,0
590,656.41742780388,0.85,0.05,0
591,665.65685935746,0.86,0.05,0
592,675.00377026286,0.87,0.05,0
593,684.42817680568,0.88,0.05,0
594,693.91419924662,0.89,0.05,0
595,703.46248607294,0.9,0.05,0
596,713.08965751154,0.91,0.05,0
597,722.82540879075,0.92,0.05,0
598,732.70822245006,0.93,0.05,0
599,742.78023282268,0.94,0.05,0
600,753.08217083595,0.95,0.05,0
601,763.64983489762,0.96,0.05,0
602,774.51413996061,0.97,0.05,0
603,785.70640606724,0.98,0.05,0
604,797.26789992171,0.99,0.05,0
605,809.26478724319,1,0.05,0
606,8.8348886645057,0.01,0.06,0
607,0,0,0.06,0
608,17.66779603166,0.02,0.06,0
609,26.496510204144,0.03,0.06,0
610,35.318403491365,0.04,0.06,0
611,44.130271554136,0.05,0.06,0
612,52.928201692937,0.06,0.06,0
613,61.707563003488,0.07,0.06,0
614,70.463027987504,0.08,0.06,0
615,79.188688222842,0.09,0.06,0
616,87.878251000939,0.1,0.06,0
617,96.525287681143,0.11,0.06,0
618,105.12352370314,0.12,0.06,0
619,113.66711529031,0.13,0.06,0
620,122.15094832283,0.14,0.06,0
621,130.57085586317,0.15,0.06,0
622,138.92382339616,0.16,0.06,0
623,147.20808183636,0.17,0.06,0
624,155.42316646665,0.18,0.06,0
625,163.56993078886,0.19,0.06,0
626,171.6504769856,0.2,0.06,0
627,179.66806167544,0.21,0.06,0
628,187.62696183875,0.22,0.06,0
629,195.5322740058,0.23,0.06,0
630,203.38968491661,0.24,0.06,0
631,211.20517302634,0.25,0.06,0
632,218.98465228867,0.26,0.06,0
633,226.7335585083,0.27,0.06,0
634,234.45641062976,0.28,0.06,0
635,242.15632095538,0.29,0.06,0
636,249.8345776193,0.3,0.06,0
637,257.4902249062,0.31,0.06,0
638,265.11985112308,0.32,0.06,0
639,272.71751147738,0.33,0.06,0
640,280.27491285942,0.34,0.06,0
641,287.781870411,0.35,0.06,0
642,295.22700926674,0.36,0.06,0
643,302.59865016596,0.37,0.06,0
644,309.88589694128,0.38,0.06,0
645,317.07969159404,0.39,0.06,0
646,324.17382775495,0.4,0.06,0
647,331.1657330881,0.41,0.06,0
648,338.05707219595,0.42,0.06,0
649,344.85404285161,0.43,0.06,0
650,351.56736379796,0.44,0.06,0
651,358.21207180165,0.45,0.06,0
652,364.80710522861,0.46,0.06,0
653,371.37473122434,0.47,0.06,0
654,377.93985758983,0.48,0.06,0
655,384.52916499377,0.49,0.06,0
656,391.17010180545,0.5,0.06,0
657,397.88955893687,0.51,0.06,0
658,404.71227635404,0.52,0.06,0
659,411.65891903862,0.53,0.06,0
660,418.74380860246,0.54,0.06,0
661,425.97279682047,0.55,0.06,0
662,433.34162737902,0.56,0.06,0
663,440.83550639503,0.57,0.06,0
664,448.43022533835,0.58,0.06,0
665,456.09485313086,0.59,0.06,0
666,463.79508181745,0.6,0.06,0
667,471.49632998863,0.61,0.06,0
668,479.16609836145,0.62,0.06,0
669,486.77597415473,0.63,0.06,0
670,494.30404553853,0.64,0.06,0
671,501.73784288301,0.65,0.06,0
672,509.07695212094,0.66,0.06,0
673,516.33380212418,0.67,0.06,0
674,523.5315926284,0.68,0.06,0
675,530.69951693162,0.69,0.06,0
676,537.86664242356,0.7,0.06,0
677,545.0564947246,0.71,0.06,0
678,552.28444021042,0.72,0.06,0
679,559.55875606741,0.73,0.06,0
680,566.88482439564,0.74,0.06,0
681,574.27035589961,0.75,0.06,0
682,581.72942493326,0.76,0.06,0
683,589.28398849558,0.77,0.06,0
684,596.96283160541,0.78,0.06,0
685,604.79840511214,0.79,0.06,0
686,612.82234366176,0.8,0.06,0
687,621.06030659167,0.81,0.06,0
688,629.52691374395,0.82,0.06,0
689,638.22190935658,0.83,0.06,0
690,647.1288970885,0.84,0.06,0
691,656.21772081414,0.85,0.06,0
692,665.45044210616,0.86,0.06,0
693,674.78939483246,0.87,0.06,0
694,684.20509445384,0.88,0.06,0
695,693.6818348213,0.89,0.06,0
696,703.22021173145,0.9,0.06,0
697,712.83659918462,0.91,0.06,0
698,722.56039021294,0.92,0.06,0
699,732.42976340591,0.93,0.06,0
700,742.48668950205,0.94,0.06,0
701,752.77195057222,0.95,0.06,0
702,763.32165592652,0.96,0.06,0
703,774.16725599945,0.97,0.06,0
704,785.34096964284,0.98,0.06,0
705,796.88695259584,0.99,0.06,0
706,808.87955243289,1,0.06,0
707,8.878377776911,0.01,0.07,0
708,0,0,0.07,0
709,17.754829176789,0.02,0.07,0
710,26.627199872874,0.03,0.07,0
711,35.492896022225,0.04,0.07,0
712,44.348736889472,0.05,0.07,0
713,53.190809915662,0.06,0.07,0
714,62.014460253427,0.07,0.07,0
715,70.814314726721,0.08,0.07,0
716,79.584413547068,0.09,0.07,0
717,88.318388992307,0.1,0.07,0
718,97.009746571485,0.11,0.07,0
719,105.65214276317,0.12,0.07,0
720,114.23969265996,0.13,0.07,0
721,122.76725196459,0.14,0.07,0
722,131.2306608304,0.15,0.07,0
723,139.62692789692,0.16,0.07,0
724,147.95434123382,0.17,0.07,0
725,156.21252574417,0.18,0.07,0
726,164.40243071325,0.19,0.07,0
727,172.52626421627,0.2,0.07,0
728,180.58738915378,0.21,0.07,0
729,188.59014589312,0.22,0.07,0
730,196.53965362589,0.23,0.07,0
731,204.44152219921,0.24,0.07,0
732,212.30152991279,0.25,0.07,0
733,220.12521766057,0.26,0.07,0
734,227.91744888708,0.27,0.07,0
735,235.68191575917,0.28,0.07,0
736,243.42065794348,0.29,0.07,0
737,251.13362070401,0.3,0.07,0
738,258.81829773338,0.31,0.07,0
739,266.46954801467,0.32,0.07,0
740,274.07964247416,0.33,0.07,0
741,281.63856313104,0.34,0.07,0
742,289.13458877157,0.35,0.07,0
743,296.55510581976,0.36,0.07,0
744,303.8876371043,0.37,0.07,0
745,311.12092868294,0.38,0.07,0
746,318.24602904588,0.39,0.07,0
747,325.2572309019,0.4,0.07,0
