id,strain_stress,x,y,z
213,-0.014708718231734,0.01675,0.00175,0
214,-0.0098533264560155,0.01725,0.00175,0
215,-0.0065484968928479,0.01775,0.00175,0
216,-0.0033627488564258,0.01825,0.00175,0
217,0.0011297633429896,0.01875,0.00175,0
218,0.007944000875339,0.01925,0.00175,0
219,0.016605415487885,0.01975,0.00175,0
220,0.025340873678553,0.02025,0.00175,0
221,0.031565246610766,0.02075,0.00175,0
222,0.032973291134754,0.02125,0.00175,0
223,0.028411184500252,0.02175,0.00175,0
224,0.01846130303442,0.02225,0.00175,0
225,0.0052998588771545,0.02275,0.00175,0
226,-0.0079188809219328,0.02325,0.00175,0
227,-0.018010862159679,0.02375,0.00175,0
228,-0.022689837545175,0.02425,0.00175,0
229,-0.021171257085887,0.02475,0.00175,0
230,-0.014394840950105,0.02525,0.00175,0
231,-0.0046914135532637,0.02575,0.00175,0
232,0.0048924573890635,0.02625,0.00175,0
233,0.011545190025876,0.02675,0.00175,0
234,0.013570040116445,0.02725,0.00175,0
235,0.010911889708674,0.02775,0.00175,0
236,0.0051679299060134,0.02825,0.00175,0
237,-0.00098274138318461,0.02875,0.00175,0
238,-0.004680729140897,0.02925,0.00175,0
239,-0.0040905779672792,0.02975,0.00175,0
240,-0.005245634217655,0.00025,0.00225,0
241,-0.00230313590333,0.00075,0.00225,0
242,0.0036513899338805,0.00125,0.00225,0
243,0.0097958697417117,0.00175,0.00225,0
244,0.013081143904712,0.00225,0.00225,0
245,0.011495481192821,0.00275,0.00225,0
246,0.0049593795487066,0.00325,0.00225,0
247,-0.0045920685037972,0.00375,0.00225,0
248,-0.013843988941642,0.00425,0.00225,0
249,-0.019250535003789,0.00475,0.00225,0
250,-0.018324623588876,0.00525,0.00225,0
251,-0.010480199745528,0.00575,0.00225,0
252,0.0026193796007082,0.00625,0.00225,0
253,0.017588427950506,0.00675,0.00225,0
254,0.030232775844699,0.00725,0.00225,0
255,0.036880575997882,0.00775,0.00225,0
256,0.035461058033963,0.00825,0.00225,0
257,0.026157260458115,0.00875,0.00225,0
258,0.011302611299674,0.00925,0.00225,0
259,-0.0054858661643543,0.00975,0.00225,0
260,-0.020513252527501,0.01025,0.00225,0
261,-0.031336192886728,0.01075,0.00225,0
262,-0.03727106021099,0.01125,0.00225,0
263,-0.039557136754761,0.01175,0.00225,0
264,-0.040068982569876,0.01225,0.00225,0
265,-0.040966705576953,0.01275,0.00225,0
266,-0.042539372068672,0.01325,0.00225,0
267,-0.046286693571,0.01375,0.00225,0
268,-0.052516646688182,0.01425,0.00225,0
269,-0.067136653166239,0.01475,0.00225,0
270,-0.067136653166221,0.01525,0.00225,0
271,-0.052516646688151,0.01575,0.00225,0
272,-0.046286693570978,0.01625,0.00225,0
273,-0.042539372068641,0.01675,0.00225,0
274,-0.040966705576922,0.01725,0.00225,0
275,-0.040068982569876,0.01775,0.00225,0
276,-0.039557136754786,0.01825,0.00225,0
277,-0.037271060211032,0.01875,0.00225,0
278,-0.031336192886769,0.01925,0.00225,0
279,-0.020513252527541,0.01975,0.00225,0
280,-0.0054858661643954,0.02025,0.00225,0
281,0.011302611299644,0.02075,0.00225,0
282,0.026157260458084,0.02125,0.00225,0
283,0.035461058033951,0.02175,0.00225,0
284,0.036880575997888,0.02225,0.00225,0
285,0.030232775844712,0.02275,0.00225,0
286,0.017588427950523,0.02325,0.00225,0
287,0.0026193796007254,0.02375,0.00225,0
288,-0.010480199745511,0.02425,0.00225,0
289,-0.018324623588866,0.02475,0.00225,0
290,-0.019250535003783,0.02525,0.00225,0
291,-0.013843988941643,0.02575,0.00225,0
292,-0.0045920685038037,0.02625,0.00225,0
293,0.0049593795486997,0.02675,0.00225,0
294,0.011495481192816,0.02725,0.00225,0
295,0.013081143904711,0.02775,0.00225,0
296,0.0097958697417142,0.02825,0.00225,0
297,0.0036513899338855,0.02875,0.00225,0
298,-0.0023031359033256,0.02925,0.00225,0
299,-0.0052456342176525,0.02975,0.00225,0
300,-0.0042838457379045,0.00025,0.00275,0
301,0.00092137152089426,0.00075,0.00275,0
302,0.006760880053967,0.00125,0.00275,0
303,0.010394658636738,0.00175,0.00275,0
304,0.0096972486556867,0.00225,0.00275,0
305,0.0042849745063253,0.00275,0.00275,0
306,-0.0040975854805975,0.00325,0.00275,0
307,-0.012132702418135,0.00375,0.00275,0
308,-0.01614825402907,0.00425,0.00275,0
309,-0.013615114757419,0.00475,0.00275,0
310,-0.0041507067152277,0.00525,0.00275,0
311,0.010043349047917,0.00575,0.00275,0
312,0.024879746679505,0.00625,0.00275,0
